Time_s,DetectorVoltage_V,Power_dB,RelativeAmplitude,RelativePower
97.772,0.621,24.84,0.385478357665772,0.148593564228701
97.791,0.686,27.44,0.519995996533516,0.270395836410885
97.791,0.595,23.8,0.341979442513709,0.116949939101987
97.81,0.686,27.44,0.519995996533516,0.270395836410885
97.828,0.712,28.48,0.586138164514029,0.343557947899875
97.828,0.673,26.92,0.489778819368446,0.239883291901949
97.846,0.712,28.48,0.586138164514029,0.343557947899875
97.863,0.712,28.48,0.586138164514029,0.343557947899875
97.863,0.712,28.48,0.586138164514029,0.343557947899875
97.883,0.712,28.48,0.586138164514029,0.343557947899875
97.883,0.686,27.44,0.519995996533516,0.270395836410885
97.9,0.712,28.48,0.586138164514029,0.343557947899875
97.919,0.699,27.96,0.552077439280757,0.304789498962798
97.919,0.647,25.88,0.434510224171572,0.188799134909629
97.938,0.699,27.96,0.552077439280757,0.304789498962798
97.956,0.66,26.4,0.461317574560379,0.212813904598271
97.956,0.544,21.76,0.270395836410884,0.0731139083483418
97.974,0.673,26.92,0.489778819368446,0.239883291901949
97.992,0.582,23.28,0.322106879128343,0.103752841581801
97.993,0.324,12.96,0.0981747943019985,0.00963829023623972
98.011,0.595,23.8,0.341979442513709,0.116949939101987
98.03,0.414,16.56,0.148593564228701,0.022080047330189
98.03,0.336,13.44,0.103752841581801,0.0107646521362983
98.049,0.466,18.64,0.188799134909629,0.0356451133426244
98.049,0.246,9.84,0.0685488226452662,0.00469894108605216
98.067,0.556,22.24,0.285759054337495,0.0816582371358593
98.087,0.259,10.36,0.0727779804536824,0.00529663443891658
98.087,0.531,21.24,0.254683025258504,0.0648634433548238
98.105,0.647,25.88,0.434510224171572,0.188799134909629
98.123,0.479,19.16,0.200447202736516,0.040179081084894
98.123,0.621,24.84,0.385478357665772,0.148593564228701
98.142,0.427,17.08,0.157761126969935,0.0248885731828239
98.16,0.608,24.32,0.363078054770101,0.131825673855641
98.16,0.686,27.44,0.519995996533516,0.270395836410885
98.178,0.582,23.28,0.322106879128343,0.103752841581801
98.198,0.673,26.92,0.489778819368446,0.239883291901949
98.198,0.712,28.48,0.586138164514029,0.343557947899875
98.219,0.66,26.4,0.461317574560379,0.212813904598271
98.219,0.712,28.48,0.586138164514029,0.343557947899875
98.241,0.725,29,0.622300285169159,0.387257644921617
98.241,0.699,27.96,0.552077439280757,0.304789498962798
98.261,0.699,27.96,0.552077439280757,0.304789498962798
98.28,0.699,27.96,0.552077439280757,0.304789498962798
98.28,0.712,28.48,0.586138164514029,0.343557947899875
98.299,0.699,27.96,0.552077439280757,0.304789498962798
98.299,0.66,26.4,0.461317574560379,0.212813904598271
98.318,0.712,28.48,0.586138164514029,0.343557947899875
98.339,0.673,26.92,0.489778819368446,0.239883291901949
98.339,0.556,22.24,0.285759054337495,0.0816582371358593
98.358,0.673,26.92,0.489778819368446,0.239883291901949
98.375,0.582,23.28,0.322106879128343,0.103752841581801
98.376,0.362,14.48,0.116949939101987,0.0136772882559585
98.394,0.621,24.84,0.385478357665772,0.148593564228701
98.395,0.44,17.6,0.167494287602644,0.0280543363795171
98.412,0.492,19.68,0.212813904598271,0.0452897579903621
98.431,0.492,19.68,0.212813904598271,0.0452897579903621
98.431,0.181,7.24,0.0508159442560561,0.0025822601906346
98.45,0.544,21.76,0.270395836410884,0.0731139083483418
98.468,0.142,5.68,0.0424619563946313,0.00180301774085957
98.469,0.505,20.2,0.225943577022098,0.0510504999975407
98.487,0.634,25.36,0.409260659730011,0.167494287602644
98.507,0.453,18.12,0.177827941003892,0.0316227766016838
98.508,0.621,24.84,0.385478357665772,0.148593564228701
98.528,0.388,15.52,0.131825673855641,0.0173780082874938
98.528,0.595,23.8,0.341979442513709,0.116949939101987
98.547,0.686,27.44,0.519995996533516,0.270395836410885
98.571,0.569,22.76,0.303389118419427,0.0920449571753171
98.571,0.673,26.92,0.489778819368446,0.239883291901949
98.591,0.712,28.48,0.586138164514029,0.343557947899875
98.591,0.673,26.92,0.489778819368446,0.239883291901949
98.611,0.712,28.48,0.586138164514029,0.343557947899875
98.611,0.712,28.48,0.586138164514029,0.343557947899875
98.63,0.699,27.96,0.552077439280757,0.304789498962798
98.65,0.725,29,0.622300285169159,0.387257644921617
98.65,0.699,27.96,0.552077439280757,0.304789498962798
98.668,0.712,28.48,0.586138164514029,0.343557947899875
98.668,0.699,27.96,0.552077439280757,0.304789498962798
98.687,0.66,26.4,0.461317574560379,0.212813904598271
98.706,0.712,28.48,0.586138164514029,0.343557947899875
98.706,0.686,27.44,0.519995996533516,0.270395836410885
98.725,0.582,23.28,0.322106879128343,0.103752841581801
98.744,0.673,26.92,0.489778819368446,0.239883291901949
98.744,0.595,23.8,0.341979442513709,0.116949939101987
98.769,0.427,17.08,0.157761126969935,0.0248885731828239
98.769,0.634,25.36,0.409260659730011,0.167494287602644
98.789,0.479,19.16,0.200447202736516,0.040179081084894
98.789,0.233,9.32,0.0645654229034656,0.00416869383470336
98.807,0.518,20.72,0.239883291901949,0.0575439937337157
98.83,0.155,6.2,0.045081670454146,0.00203235701093622
98.83,0.518,20.72,0.239883291901949,0.0575439937337157
98.853,0.194,7.76,0.0539510622515128,0.00291071711806661
98.853,0.479,19.16,0.200447202736516,0.040179081084894
98.873,0.621,24.84,0.385478357665772,0.148593564228701
98.873,0.427,17.08,0.157761126969935,0.0248885731828239
98.895,0.608,24.32,0.363078054770101,0.131825673855641
98.895,0.349,13.96,0.110153930954142,0.0121338885046498
98.914,0.621,24.84,0.385478357665772,0.148593564228701
98.934,0.673,26.92,0.489778819368446,0.239883291901949
